,abs_initial_ma_diff,gap_closed_pct,inst_flow_in_corrective_dir,retail_flow_in_corrective_dir,total_corrective_flow,correction_effort_index
count,2965.0,2965.0,2965.0,2965.0,2965.0,2965.0
mean,0.23377249094285357,-0.6840420113978005,-294255.7892074199,-33389.13490725127,-327644.9241146712,-39759.26331395511
std,0.5819155895781605,1.718973072402761,599655.1507505822,67515.37853531256,654009.8559589682,71123.69326303183
min,0.0150375939849623,-47.43243243243239,-5327409.0,-372603.0,-5681558.0,-1093095.2169357268
25%,0.0545454545454545,-1.1596958174904923,-322202.0,-23515.0,-352163.0,-49179.28634001723
50%,0.0801393728222996,0.0,-62120.0,-10621.0,-75075.0,-9300.052075612004
75%,0.1153846153846153,0.0617283950617285,-11188.0,-4269.0,-19996.0,-2136.333790436495
max,3.6261682242990654,0.7499999999999998,-0.0,31491.0,31491.0,19996.772302049703
non_zero_count,2965.0,2174.0,2787.0,2960.0,2965.0,2965.0
positive_count,2965.0,788.0,0.0,65.0,65.0,65.0
negative_count,0.0,1386.0,2787.0,2895.0,2900.0,2900.0
pct_positive,1.0,0.2657672849915683,0.0,0.021922428330522766,0.021922428330522766,0.021922428330522766
pct_negative,0.0,0.46745362563237775,0.9399662731871838,0.9763912310286678,0.9780775716694773,0.9780775716694773
