,gap_closed_pct,inst_flow_in_corrective_dir,abs_initial_ma_diff
count,4593.0,4593.0,4593.0
mean,0.990767414671333,258779.00043544525,0.5755457699131158
std,0.043793635731121675,604354.3212090319,0.36251926698609344
min,0.75,707.0,0.015151515151515
25%,1.0,11768.0,0.1954022988505747
50%,1.0,42543.0,0.8636363636363636
75%,1.0,210781.0,0.9065420560747663
max,1.0,6625451.0,0.9874055415617128
non_zero_count,4593.0,4593.0,4593.0
positive_count,4593.0,4593.0,4593.0
negative_count,0.0,0.0,0.0
pct_positive,1.0,1.0,1.0
pct_negative,0.0,0.0,0.0
