,gap_closed_pct,inst_flow_in_corrective_dir,abs_initial_ma_diff
count,5680.0,5680.0,5680.0
mean,0.9927365578506208,-263539.1977112676,0.582919527422984
std,0.03666558086998303,519473.67176988284,1.1039320715714858
min,0.75,-6623751.0,0.0153256704980842
25%,1.0,-272150.0,0.0545454545454545
50%,1.0,-61989.0,0.0852713178294573
75%,1.0,-13674.0,0.2437185929648242
max,1.0,-707.0,3.805825242718447
non_zero_count,5680.0,5680.0,5680.0
positive_count,5680.0,0.0,5680.0
negative_count,0.0,5680.0,0.0
pct_positive,1.0,0.0,1.0
pct_negative,0.0,1.0,0.0
