,abs_initial_ma_diff,gap_closed_pct,inst_flow_in_corrective_dir,retail_flow_in_corrective_dir,total_corrective_flow,correction_effort_index,inst_correction_effort_index,retail_correction_effort_index
count,4853.0,4853.0,4853.0,4853.0,4853.0,4853.0,4853.0,4853.0
mean,0.33091541388717277,-0.6604093515555263,100180.75211209561,12230.158046569133,112410.91015866474,16216.201897613068,14496.391091718222,1719.8108058948462
std,0.43310620336064015,2.586702422399304,1336187.2879291538,107395.9915991038,1424630.5221521726,188113.36420666243,170675.53592242312,20133.386512063353
min,0.0150375939849623,-60.647058823529264,-9123319.0,-656295.0,-9401611.0,-4388891.909998397,-4083973.5146543286,-373963.83131405484
25%,0.0748898678414096,-0.809128630705394,-35567.0,-3536.0,-39724.0,-1486.8360000373777,-1264.266434884488,-147.91648877621
50%,0.173076923076923,0.0,7325.0,2058.0,11134.0,473.9767304925431,235.51640371083877,69.07566934112405
75%,0.3800904977375565,0.3388704318936878,106372.0,9842.0,119679.0,12649.394912152045,11212.9971967507,833.891065121606
max,3.6261682242990654,0.7499999999999999,9219186.0,682116.0,9503418.0,2382290.862375288,2213123.323275602,251718.79173800242
non_zero_count,4853.0,3844.0,4664.0,4835.0,4853.0,4853.0,4664.0,4835.0
positive_count,4853.0,1796.0,2769.0,2872.0,2886.0,2886.0,2769.0,2872.0
negative_count,0.0,2048.0,1895.0,1963.0,1967.0,1967.0,1895.0,1963.0
pct_positive,1.0,0.37008036266227073,0.5705749021223985,0.5917988872862147,0.5946837008036266,0.5946837008036266,0.5705749021223985,0.5917988872862147
pct_negative,0.0,0.42200700597568513,0.3904801153925407,0.4044920667628271,0.40531629919637335,0.40531629919637335,0.3904801153925407,0.4044920667628271
