,abs_initial_ma_diff,gap_closed_pct,inst_flow_in_corrective_dir,retail_flow_in_corrective_dir,total_corrective_flow,correction_effort_index
count,2769.0,2769.0,2769.0,2769.0,2769.0,2769.0
mean,0.28390879499422667,-0.6067265693033205,522897.1578187071,43087.39328277356,565984.5511014807,55138.51996148409
std,0.358257846897379,2.5314602026472612,1311762.582097672,112266.29183440634,1402640.6938243334,181835.13665617487
min,0.0157480314960629,-60.647058823529264,714.0,0.0,764.0,8.427628773014817
25%,0.0652173913043478,-0.809128630705394,17912.0,3266.0,22023.0,1280.6369364833224
50%,0.1055045871559633,0.0,69146.0,7043.0,78636.0,8495.35771281434
75%,0.2395437262357414,0.2440476190476145,360742.0,21666.0,380039.0,45457.264284774414
max,0.9748743718592964,0.7499999999999999,9219186.0,682116.0,9503418.0,2382290.862375288
non_zero_count,2769.0,2170.0,2769.0,2755.0,2769.0,2769.0
positive_count,2769.0,947.0,2769.0,2755.0,2769.0,2769.0
negative_count,0.0,1223.0,0.0,0.0,0.0,0.0
pct_positive,1.0,0.3420007222824124,1.0,0.9949440231130372,1.0,1.0
pct_negative,0.0,0.441675695196822,0.0,0.0,0.0,0.0
