,abs_initial_ma_diff,gap_closed_pct,inst_flow_in_corrective_dir,retail_flow_in_corrective_dir,total_corrective_flow,correction_effort_index,inst_correction_effort_index,retail_correction_effort_index
count,10783.0,10783.0,10783.0,10783.0,10783.0,10783.0,10783.0,10783.0
mean,0.46296972147549026,0.9934301702252156,40147.22387090791,6730.848001483817,46878.07187239173,10675.176819424343,9605.439721010276,1069.737098414068
std,0.6521739798060483,0.03504875129989799,955191.0298903633,87222.14244281642,1026951.5573332435,83548.92412952796,77424.76620928216,8287.916696332537
min,0.0151515151515151,0.75,-13958727.0,-1254059.0,-14780118.0,-1888063.3882441951,-1844246.533000718,-283952.8421595726
25%,0.0888888888888888,1.0,-25296.0,-2807.0,-29375.0,-972.4188900149297,-762.2525316916945,-122.75388532570969
50%,0.223175965665236,1.0,1021.0,354.0,2413.0,50.95997502961229,15.499793651445467,4.3753607794851
75%,0.6445182724252491,1.0,52891.0,7221.0,61351.0,4793.772269832328,3851.4596422987615,729.932036493161
max,3.805825242718447,1.0,14750266.0,1295934.0,15481394.0,1306594.8849421267,1188686.994768212,196343.08567841304
non_zero_count,10783.0,10783.0,9940.0,10447.0,10582.0,10582.0,9940.0,10447.0
positive_count,10783.0,10783.0,5505.0,5771.0,5838.0,5838.0,5505.0,5771.0
negative_count,0.0,0.0,4435.0,4676.0,4744.0,4744.0,4435.0,4676.0
pct_positive,1.0,1.0,0.510525827691737,0.5351942873040898,0.5414077714921636,0.5414077714921636,0.510525827691737,0.5351942873040898
pct_negative,0.0,0.0,0.4112955578224984,0.43364555318556985,0.43995177594361495,0.43995177594361495,0.4112955578224984,0.43364555318556985
