,abs_initial_ma_diff_zscore,abs_initial_ma_diff_pct,gap_closed_pct,inst_flow_in_corrective_dir,retail_flow_in_corrective_dir,total_corrective_flow,total_correction_effort_index,inst_correction_effort_index,retail_correction_effort_index
count,1503.0,1503.0,1503.0,1503.0,1503.0,1503.0,1503.0,1503.0,1503.0
mean,3.0256196298149525,0.2555152152153832,0.9760901859657354,122561.81570192947,14535.295409181637,137097.11111111112,8747.47013712152,7895.524853288069,851.9452838334507
std,1.1110652304072692,0.20548822729013377,0.0707941181340791,223185.7903692205,28053.83374057517,238278.81262543966,18639.470661883275,17862.975451739298,1494.3823469562842
min,2.0002311847164327,0.007936507936507908,0.75,707.0,0.0,766.0,7.857422599813036,7.324020543428862,0.0
25%,2.316044608661096,0.15057915057915053,1.0,6174.5,2414.0,12518.0,586.3543424831615,308.8725717771375,163.3399684079891
50%,2.689665563760586,0.21818181818181817,1.0,27655.0,6365.0,35856.0,2023.0887719993154,1607.7802283878082,311.426185937031
75%,3.347877492514126,0.2957746478873239,1.0,130014.0,16468.5,146867.0,8891.078710873262,7794.308721204548,724.2695539413228
max,7.6168672475415935,0.9874055415617129,1.0,2436791.0,265900.0,2445905.0,332773.2083062284,327015.5943755994,11440.787735099828
non_zero_count,1503.0,1503.0,1503.0,1503.0,1488.0,1503.0,1503.0,1503.0,1488.0
positive_count,1503.0,1503.0,1503.0,1503.0,1488.0,1503.0,1503.0,1503.0,1488.0
negative_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_positive,1.0,1.0,1.0,1.0,0.9900199600798403,1.0,1.0,1.0,0.9900199600798403
pct_negative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
