,abs_initial_ma_diff_zscore,abs_initial_ma_diff_pct,gap_closed_pct,inst_flow_in_corrective_dir,retail_flow_in_corrective_dir,total_corrective_flow,total_correction_effort_index,inst_correction_effort_index,retail_correction_effort_index
count,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0,1097.0
mean,4.000500297502601,2.0887382869234887,0.9819734537624238,-99459.30446672744,-10313.100273473108,-109772.40474020055,-4494.978174362157,-4019.922492974852,-475.0556813873054
std,1.7356683295208186,1.5858402707695178,0.06297812184613587,374667.26572349883,27552.588905690776,386570.32036141487,20011.25080005842,18696.536732914345,2241.1059537397855
min,2.0013008528604406,0.006389776357827453,0.75,-6612484.0,-223381.0,-6619705.0,-340789.03065031295,-326046.7237584826,-36622.02726428087
25%,2.6837532259878123,0.1836734693877551,1.0,-40494.0,-5251.0,-46617.0,-1369.3129405184409,-1052.9344706362424,-217.34140280094778
50%,3.409446038003483,3.4545454545454546,1.0,-12341.0,-2521.0,-15541.0,-158.2089469104478,-107.22267966070696,-18.951842050402565
75%,4.811093290278685,3.4545454545454546,1.0,-2998.0,-1041.0,-4768.0,-34.81360815141608,-25.88184203034204,-5.75546387717819
max,7.6168672475502275,3.8058252427184467,1.0,-707.0,-0.0,-743.0,-2.048994839710246,-1.9690206131266699,-0.0
non_zero_count,1097.0,1097.0,1097.0,1097.0,1083.0,1097.0,1097.0,1097.0,1083.0
positive_count,1097.0,1097.0,1097.0,0.0,0.0,0.0,0.0,0.0,0.0
negative_count,0.0,0.0,0.0,1097.0,1083.0,1097.0,1097.0,1097.0,1083.0
pct_positive,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_negative,0.0,0.0,0.0,1.0,0.9872379216043756,1.0,1.0,1.0,0.9872379216043756
