,abs_initial_ma_diff_zscore,abs_initial_ma_diff_pct,gap_closed_pct,inst_flow_in_corrective_dir,retail_flow_in_corrective_dir,total_corrective_flow,total_correction_effort_index,inst_correction_effort_index,retail_correction_effort_index
count,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0,275.0
mean,3.357201102432935,1.1519109730508006,0.08948202862797554,-229975.68,-21613.134545454544,-251588.81454545454,-11557.342680721846,-10843.919350781725,-713.4233299401197
std,1.515097708815329,1.466385244515531,1.2723845239269767,682883.3326722466,60905.30876379512,738337.6816497386,54111.99758847572,52762.331932525674,2496.5155438081497
min,2.0021121401406288,0.007067137809187254,-9.578185328185363,-4734704.0,-365191.0,-5099895.0,-778876.9415187603,-764828.9505094744,-21370.42204884543
25%,2.326093024550305,0.10038610038610045,0.0,-71961.5,-9592.0,-89105.5,-6681.86725960522,-5295.878850804434,-641.6437236770992
50%,2.761585324887025,0.20901639344262302,0.3549382716049384,-12407.0,-2936.0,-17623.0,-554.1799787124515,-219.59425967668048,-131.33710488297154
75%,3.7989297111960685,3.2920353982300887,0.667314992000498,-907.0,-648.0,-2154.0,-20.923788600656145,-5.042631564350277,-3.076094667374222
max,7.616867247560649,3.6261682242990654,0.7499999999999998,-0.0,28068.0,28068.0,17823.16868228795,-0.0,17823.16868228795
non_zero_count,275.0,275.0,238.0,208.0,274.0,275.0,275.0,208.0,274.0
positive_count,275.0,275.0,182.0,0.0,41.0,41.0,41.0,0.0,41.0
negative_count,0.0,0.0,56.0,208.0,233.0,234.0,234.0,208.0,233.0
pct_positive,1.0,1.0,0.6618181818181819,0.0,0.14909090909090908,0.14909090909090908,0.14909090909090908,0.0,0.14909090909090908
pct_negative,0.0,0.0,0.20363636363636364,0.7563636363636363,0.8472727272727273,0.850909090909091,0.850909090909091,0.7563636363636363,0.8472727272727273
