,abs_initial_ma_diff_zscore,abs_initial_ma_diff_pct,gap_closed_pct,inst_flow_in_corrective_dir,retail_flow_in_corrective_dir,total_corrective_flow,total_correction_effort_index,inst_correction_effort_index,retail_correction_effort_index
count,3651.0,3651.0,3651.0,3651.0,3651.0,3651.0,3651.0,3651.0,3651.0
mean,3.6275820696059924,0.7745240149412157,0.9891911875818835,-79409.49219391948,-8787.77239112572,-88197.2645850452,-3674.2594432552632,-3318.3166210377485,-355.94282221751484
std,1.5910631108911433,0.9406004351021275,0.04638105774991823,579979.3013179904,54676.52901785654,621632.5732879337,27537.3664986779,26113.20223999018,2078.3808373180213
min,2.0002077559965885,0.0040567951318459,0.75,-13958727.0,-1254059.0,-14448824.0,-523222.3196876734,-477018.36004998925,-46203.95963768416
25%,2.4875816794652823,0.1635687732342007,1.0,-39728.5,-5878.5,-47534.5,-1880.8569172152597,-1453.6787434074968,-288.8097835400207
50%,3.060880506829867,0.4220183486238532,1.0,-1748.0,-483.0,-3072.0,-39.286649376194035,-14.075463878709416,-2.712989671702752
75%,4.259753462997349,0.9667774086378738,1.0,5702.5,848.0,7375.0,182.73247230528742,121.57998437893457,13.610154497805684
max,7.616867258227038,3.8058252427184467,1.0,3654756.0,221808.0,3669497.0,414528.13769454794,413459.6590408311,29075.798452758783
non_zero_count,3651.0,3651.0,3651.0,3162.0,3448.0,3537.0,3537.0,3162.0,3448.0
positive_count,3651.0,3651.0,3651.0,1238.0,1378.0,1432.0,1432.0,1238.0,1378.0
negative_count,0.0,0.0,0.0,1924.0,2070.0,2105.0,2105.0,1924.0,2070.0
pct_positive,1.0,1.0,1.0,0.33908518214187894,0.3774308408655163,0.39222130923034787,0.39222130923034787,0.33908518214187894,0.3774308408655163
pct_negative,0.0,0.0,0.0,0.526978909887702,0.5669679539852095,0.5765543686661189,0.5765543686661189,0.526978909887702,0.5669679539852095
