,abs_initial_ma_diff_zscore,abs_initial_ma_diff_pct,gap_closed_pct,inst_flow_in_corrective_dir,retail_flow_in_corrective_dir,total_corrective_flow,total_correction_effort_index,inst_correction_effort_index,retail_correction_effort_index
count,990.0,990.0,990.0,990.0,990.0,990.0,990.0,990.0,990.0
mean,3.1814876042740123,0.5615712520464897,0.17033643485761996,-274561.3939393939,-30254.667676767676,-304816.0616161616,-7721.617003400378,-7012.964038265689,-708.65296513469
std,1.2792782151699678,0.6520900773295804,1.6248466938784298,1696329.7724104112,157643.38081976934,1832904.3686662475,43422.255218226885,41027.15085329212,3610.2727215060363
min,2.000034071332613,0.00790513833992092,-28.70253164556972,-14709560.0,-1269753.0,-15370950.0,-448989.67702806013,-446725.32989245927,-31254.995393106226
25%,2.329847374020281,0.1563786008230453,0.0,-145133.0,-12045.5,-158528.0,-8266.3647002271,-7557.384205930726,-649.7606410110993
50%,2.7154825206608435,0.2995594713656388,0.36448598130841137,-7721.0,-2136.0,-12702.5,-443.2548422534711,-258.2218001513368,-109.25255955888542
75%,3.549256570641101,0.9667774086378738,0.689227652143253,46328.25,3082.0,49689.5,964.0295656386173,846.906794052212,76.17020539931157
max,7.616867248769956,3.6261682242990654,0.7499999999999999,3651717.0,219228.0,3666458.0,350615.82834722317,346223.19300341664,39054.019154164234
non_zero_count,990.0,990.0,895.0,947.0,990.0,990.0,990.0,947.0,990.0
positive_count,990.0,990.0,723.0,384.0,411.0,411.0,411.0,384.0,411.0
negative_count,0.0,0.0,172.0,563.0,579.0,579.0,579.0,563.0,579.0
pct_positive,1.0,1.0,0.7303030303030303,0.3878787878787879,0.41515151515151516,0.41515151515151516,0.41515151515151516,0.3878787878787879,0.41515151515151516
pct_negative,0.0,0.0,0.17373737373737375,0.5686868686868687,0.5848484848484848,0.5848484848484848,0.5848484848484848,0.5686868686868687,0.5848484848484848
