,abs_initial_ma_diff_zscore,abs_initial_ma_diff_pct,gap_closed_pct,inst_flow_in_corrective_dir,retail_flow_in_corrective_dir,total_corrective_flow,total_correction_effort_index,inst_correction_effort_index,retail_correction_effort_index
count,384.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0,384.0
mean,3.0336341426879714,0.6381435537138631,-0.10168007282169565,312549.8984375,15854.309895833334,328404.2083333333,14371.39013890607,13354.272363284086,1017.1177756219854
std,1.232304384451367,0.4133343186536848,2.5231029226508697,608121.3576256187,30612.95693242542,628172.977633413,38628.10703702866,36390.68954232742,3369.888223248359
min,2.00311138667081,0.007936507936507908,-28.70253164556972,950.0,322.0,2191.0,24.168762619994062,17.94731938965328,3.302989656840467
25%,2.220021361344354,0.16353261105405517,-0.00012765522875818336,22915.0,2393.25,27150.0,628.4836823300184,573.6130224295102,32.85038626096769
50%,2.5393743476509774,0.9509803921568627,0.3222591362126247,73571.5,5020.0,80055.0,1984.6312338520806,1896.726423842858,163.20542787225264
75%,3.4435411323850422,0.9748743718592965,0.7311557788944723,258040.25,10695.5,271244.25,9212.526132357612,8708.726803069321,534.9789145238959
max,7.616867248769956,0.9748743718592965,0.7499999999999999,3651717.0,219228.0,3666458.0,350615.82834722317,346223.19300341664,39054.019154164234
non_zero_count,384.0,384.0,348.0,384.0,384.0,384.0,384.0,384.0,384.0
positive_count,384.0,384.0,252.0,384.0,384.0,384.0,384.0,384.0,384.0
negative_count,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0
pct_positive,1.0,1.0,0.65625,1.0,1.0,1.0,1.0,1.0,1.0
pct_negative,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
